epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,35.807,2.12253,0.91993,0.92595,0.06762,0.33011,1.99538,0.91393,0,7.497e-05,7.497e-05,7.497e-05
2,69.1348,1.44177,0.874,0.81937,0.18283,0.70845,1.09948,0.82749,0,0.000157487,0.000157487,0.000157487
3,103.222,0.87203,0.81688,0.62063,0.20391,0.82456,0.87645,0.79399,0,0.000239178,0.000239178,0.000239178
4,134.13,0.58596,0.77421,0.42014,0.21423,0.85259,0.77374,0.76969,0,0.000320046,0.000320046,0.000320046
5,165.469,0.4182,0.73704,0.29461,0.26363,0.88133,0.59879,0.73188,0,0.000400088,0.000400088,0.000400088
6,219.994,0.27367,0.694,0.21911,0.30522,0.90944,0.43671,0.69566,0,0.000479306,0.000479306,0.000479306
7,295.746,0.21501,0.66034,0.17778,0.32389,0.92063,0.37078,0.67497,0,0.000557699,0.000557699,0.000557699
8,351.619,0.16242,0.61815,0.14664,0.37795,0.93514,0.27646,0.62685,0,0.000635268,0.000635268,0.000635268
9,412.445,0.14258,0.57738,0.13052,0.4054,0.9371,0.28158,0.60115,0,0.000712012,0.000712012,0.000712012
10,476.542,0.12506,0.53774,0.12165,0.48663,0.9354,0.30942,0.53268,0,0.000787931,0.000787931,0.000787931
11,537.181,0.10525,0.46161,0.10692,0.4697,0.91694,0.3896,0.52363,0,0.000791767,0.000791767,0.000791767
12,573.533,0.09939,0.42449,0.09686,0.48057,0.91344,0.39904,0.49439,0,0.000787643,0.000787643,0.000787643
13,623.875,0.08959,0.37835,0.08523,0.51688,0.91993,0.36343,0.45734,0,0.00078352,0.00078352,0.00078352
14,682.496,0.07251,0.34857,0.07549,0.60625,0.93414,0.32497,0.41765,0,0.000779396,0.000779396,0.000779396
15,732.335,0.0718,0.31747,0.07061,0.61389,0.93984,0.31393,0.40187,0,0.000775273,0.000775273,0.000775273
16,767.965,0.06935,0.30972,0.0662,0.62614,0.94265,0.27727,0.38403,0,0.00077115,0.00077115,0.00077115
17,831.548,0.06082,0.26933,0.06,0.63875,0.95032,0.21554,0.35735,0,0.000767026,0.000767026,0.000767026
