epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,9.6499,1.53633,0.85918,0.80959,0.16993,0.53268,1.19738,0.82854,0,0.00017,0.00017,0.00017
2,20.1291,0.92127,0.78442,0.68167,0.2384,0.70679,0.95636,0.78305,0,0.000346535,0.000346535,0.000346535
3,30.3112,0.69068,0.74815,0.54302,0.2416,0.81104,0.69819,0.73517,0,0.000519506,0.000519506,0.000519506
4,40.7652,0.49815,0.71763,0.40121,0.2416,0.81104,0.69819,0.73517,0,0.000688913,0.000688913,0.000688913
5,50.8418,0.42016,0.70064,0.315,0.27141,0.87617,0.50508,0.7101,0,0.000854756,0.000854756,0.000854756
6,61.0165,0.38879,0.69581,0.27236,0.27141,0.87617,0.50508,0.7101,0,0.0009505,0.0009505,0.0009505
7,71.8003,0.30389,0.67293,0.18396,0.32335,0.93633,0.30377,0.67888,0,0.0009406,0.0009406,0.0009406
8,81.9314,0.25739,0.66177,0.15739,0.36009,0.95665,0.22336,0.65175,0,0.0009307,0.0009307,0.0009307
9,92.4041,0.19466,0.63526,0.11646,0.36009,0.95665,0.22336,0.65175,0,0.0009208,0.0009208,0.0009208
10,102.791,0.18163,0.62714,0.11431,0.39572,0.95814,0.18527,0.6246,0,0.0009109,0.0009109,0.0009109
11,113.122,0.14835,0.5895,0.10122,0.39572,0.95814,0.18527,0.6246,0,0.000901,0.000901,0.000901
12,123.732,0.13532,0.57084,0.09254,0.4198,0.95382,0.17818,0.59519,0,0.0008911,0.0008911,0.0008911
13,134.002,0.13069,0.53554,0.08791,0.4198,0.95382,0.17818,0.59519,0,0.0008812,0.0008812,0.0008812
14,144.079,0.1126,0.51135,0.0798,0.41613,0.94605,0.19119,0.57384,0,0.0008713,0.0008713,0.0008713
15,154.308,0.11257,0.49412,0.08203,0.41613,0.94605,0.19119,0.57384,0,0.0008614,0.0008614,0.0008614
16,164.609,0.09749,0.46829,0.07535,0.41793,0.94471,0.19615,0.55482,0,0.0008515,0.0008515,0.0008515
17,175.068,0.09303,0.47163,0.07384,0.42654,0.95157,0.16536,0.53048,0,0.0008416,0.0008416,0.0008416
18,185.412,0.08116,0.44345,0.06865,0.42654,0.95157,0.16536,0.53048,0,0.0008317,0.0008317,0.0008317
19,195.903,0.07725,0.43286,0.0665,0.45918,0.95681,0.14854,0.51003,0,0.0008218,0.0008218,0.0008218
20,206.42,0.07371,0.42842,0.06361,0.45918,0.95681,0.14854,0.51003,0,0.0008119,0.0008119,0.0008119
21,216.808,0.0744,0.41762,0.06265,0.45653,0.95567,0.14898,0.49056,0,0.000802,0.000802,0.000802
22,227.016,0.06693,0.40654,0.05591,0.45653,0.95567,0.14898,0.49056,0,0.0007921,0.0007921,0.0007921
23,238.992,0.06546,0.39665,0.05449,0.45457,0.95375,0.15062,0.49014,0,0.0007822,0.0007822,0.0007822
24,250.213,0.06226,0.37989,0.05331,0.48102,0.95962,0.13514,0.47115,0,0.0007723,0.0007723,0.0007723
25,260.915,0.0596,0.37122,0.04999,0.48102,0.95962,0.13514,0.47115,0,0.0007624,0.0007624,0.0007624
26,271.392,0.05794,0.36612,0.04955,0.54631,0.96472,0.12181,0.44707,0,0.0007525,0.0007525,0.0007525
27,281.928,0.05513,0.35096,0.04838,0.54631,0.96472,0.12181,0.44707,0,0.0007426,0.0007426,0.0007426
28,292.455,0.05341,0.3597,0.04768,0.52877,0.96414,0.12348,0.44212,0,0.0007327,0.0007327,0.0007327
29,303,0.05347,0.34637,0.04655,0.52877,0.96414,0.12348,0.44212,0,0.0007228,0.0007228,0.0007228
30,313.272,0.04937,0.35313,0.04332,0.56423,0.96602,0.12291,0.43861,0,0.0007129,0.0007129,0.0007129
31,323.818,0.04575,0.33634,0.04221,0.56423,0.96602,0.12291,0.43861,0,0.000703,0.000703,0.000703
32,334.037,0.04703,0.33802,0.04267,0.60783,0.96846,0.11843,0.42229,0,0.0006931,0.0006931,0.0006931
33,344.249,0.04766,0.34021,0.04264,0.61983,0.97034,0.11125,0.40819,0,0.0006832,0.0006832,0.0006832
34,355.423,0.04427,0.32556,0.04003,0.61983,0.97034,0.11125,0.40819,0,0.0006733,0.0006733,0.0006733
35,366.413,0.04502,0.32799,0.03968,0.63392,0.97201,0.10547,0.3942,0,0.0006634,0.0006634,0.0006634
36,376.961,0.04526,0.31488,0.03967,0.63392,0.97201,0.10547,0.3942,0,0.0006535,0.0006535,0.0006535
37,387.547,0.04052,0.31789,0.03753,0.63214,0.97256,0.10164,0.38967,0,0.0006436,0.0006436,0.0006436
38,398.905,0.04029,0.29416,0.03711,0.63214,0.97256,0.10164,0.38967,0,0.0006337,0.0006337,0.0006337
39,409.769,0.03918,0.31569,0.03477,0.63606,0.97327,0.09847,0.38098,0,0.0006238,0.0006238,0.0006238
40,420.392,0.03987,0.30839,0.03471,0.62898,0.9719,0.10217,0.38016,0,0.0006139,0.0006139,0.0006139
41,431.039,0.03993,0.32864,0.03457,0.62898,0.9719,0.10217,0.38016,0,0.000604,0.000604,0.000604
42,441.183,0.03807,0.29542,0.03298,0.62802,0.97135,0.10432,0.37669,0,0.0005941,0.0005941,0.0005941
43,451.349,0.03698,0.30441,0.03151,0.62802,0.97135,0.10432,0.37669,0,0.0005842,0.0005842,0.0005842
44,461.878,0.0348,0.30808,0.03182,0.64546,0.9733,0.09452,0.36813,0,0.0005743,0.0005743,0.0005743
45,472.257,0.03678,0.29771,0.03323,0.64546,0.9733,0.09452,0.36813,0,0.0005644,0.0005644,0.0005644
46,482.558,0.03504,0.30451,0.03176,0.65581,0.9747,0.08923,0.36533,0,0.0005545,0.0005545,0.0005545
47,493.064,0.03114,0.27291,0.02886,0.65581,0.9747,0.08923,0.36533,0,0.0005446,0.0005446,0.0005446
48,503.604,0.03468,0.28002,0.02973,0.64611,0.97388,0.09093,0.37721,0,0.0005347,0.0005347,0.0005347
49,513.976,0.0337,0.30384,0.0291,0.63896,0.97291,0.09322,0.394,0,0.0005248,0.0005248,0.0005248
50,524.351,0.03357,0.31059,0.02929,0.63896,0.97291,0.09322,0.394,0,0.0005149,0.0005149,0.0005149
51,534.896,0.03261,0.28992,0.02848,0.63995,0.97246,0.09305,0.39902,0,0.000505,0.000505,0.000505
52,545.19,0.03014,0.27707,0.02696,0.63995,0.97246,0.09305,0.39902,0,0.0004951,0.0004951,0.0004951
53,556.195,0.03024,0.28014,0.02692,0.64089,0.97281,0.09111,0.40001,0,0.0004852,0.0004852,0.0004852
