epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0376,1.40108,0.88257,0.88994,0.22115,0.8497,0.68007,0.84435,0,0.00014443,0.00014443,0.00014443
2,31.9497,1.01852,0.85171,0.80876,0.35147,0.95343,0.46951,0.80937,0,0.000298485,0.000298485,0.000298485
3,48.8223,0.78117,0.82114,0.70978,0.3891,0.95081,0.47351,0.78296,0,0.000451,0.000451,0.000451
4,66.0844,0.7001,0.80328,0.63107,0.37566,0.93952,0.52554,0.78499,0,0.000601976,0.000601976,0.000601976
5,83.8995,0.59902,0.78425,0.56165,0.36152,0.92982,0.57392,0.78814,0,0.000751412,0.000751412,0.000751412
6,103.096,0.51128,0.76602,0.49676,0.34814,0.91889,0.62889,0.7898,0,0.000899307,0.000899307,0.000899307
7,122.012,0.42396,0.74968,0.42987,0.3482,0.92009,0.60981,0.77891,0,0.00104566,0.00104566,0.00104566
8,140.79,0.30931,0.72273,0.34755,0.36882,0.93521,0.50482,0.75546,0,0.0010725,0.0010725,0.0010725
9,159.308,0.28911,0.71096,0.32359,0.41888,0.96117,0.33679,0.72647,0,0.001067,0.001067,0.001067
10,177.125,0.2126,0.68565,0.26128,0.46077,0.97233,0.2383,0.70121,0,0.0010615,0.0010615,0.0010615
11,194.114,0.18386,0.66745,0.23679,0.47406,0.9759,0.18363,0.67417,0,0.00105601,0.00105601,0.00105601
12,210.492,0.18125,0.65906,0.2341,0.48475,0.97852,0.14543,0.63984,0,0.00105051,0.00105051,0.00105051
13,226.344,0.12847,0.62315,0.18853,0.49167,0.97952,0.1234,0.61022,0,0.00104501,0.00104501,0.00104501
14,242.361,0.14097,0.61645,0.18384,0.49167,0.97952,0.1234,0.61022,0,0.00103951,0.00103951,0.00103951
15,259.118,0.11172,0.5889,0.16398,0.49844,0.98051,0.10539,0.59712,0,0.00103401,0.00103401,0.00103401
16,276.523,0.08521,0.57371,0.12966,0.5165,0.98343,0.08415,0.58756,0,0.00102851,0.00102851,0.00102851
17,294.943,0.08778,0.56822,0.12967,0.51052,0.98256,0.07821,0.58527,0,0.00102301,0.00102301,0.00102301
18,314.048,0.09812,0.56498,0.13271,0.52838,0.98531,0.06829,0.57147,0,0.00101751,0.00101751,0.00101751
19,332.757,0.07153,0.54841,0.11095,0.54419,0.98656,0.06728,0.55435,0,0.00101201,0.00101201,0.00101201
20,351.354,0.06262,0.52719,0.09763,0.51195,0.98194,0.07963,0.55893,0,0.00100651,0.00100651,0.00100651
21,369.636,0.07594,0.52861,0.10291,0.52718,0.98408,0.07078,0.5531,0,0.00100101,0.00100101,0.00100101
22,386.998,0.0615,0.50885,0.08592,0.52718,0.98408,0.07078,0.5531,0,0.000995512,0.000995512,0.000995512
23,403.659,0.04712,0.51472,0.07096,0.5679,0.98893,0.05317,0.54339,0,0.000990012,0.000990012,0.000990012
24,420.265,0.04442,0.49033,0.07395,0.57083,0.98941,0.04909,0.54094,0,0.000984513,0.000984513,0.000984513
